rownames,year,species,species_latin,count,hours,count_per_hour,count_per_week,species_binary
10154,1975,American Goldfinch,Spinus tristis,190,166.0,1.144578313253012,192.28915662650604,American Crow
10155,1975,American Kestrel,Falco sparverius,14,166.0,0.0843373493975903,14.16867469879518,American Crow
10156,1975,American Pipit,Anthus rubescens,0,166.0,0.0,0.0,American Crow
10157,1975,American Robin,Turdus migratorius,6,166.0,0.036144578313253,6.072289156626505,American Crow
10158,1975,American Three-toed Woodpecker,Picoides dorsalis,0,166.0,0.0,0.0,American Crow
10159,1975,American Tree Sparrow,Spizelloides arborea,520,166.0,3.132530120481928,526.2650602409639,American Crow
10160,1975,American Wigeon,Anas americana,1,166.0,0.0060240963855421,1.0120481927710845,American Crow
10161,1975,American Woodcock,Scolopax minor,0,166.0,0.0,0.0,American Crow
10162,1975,Bald Eagle,Haliaeetus leucocephalus,0,166.0,0.0,0.0,American Crow
10163,1975,Baltimore Oriole,Icterus galbula,0,166.0,0.0,0.0,American Crow
10164,1975,Barn Owl,Tyto alba,0,166.0,0.0,0.0,American Crow
10165,1975,Barn Swallow,Hirundo rustica,0,166.0,0.0,0.0,American Crow
10166,1975,Barred Owl,Strix varia,0,166.0,0.0,0.0,American Crow
10167,1975,Barrow's Goldeneye,Bucephala islandica,0,166.0,0.0,0.0,American Crow
10168,1975,Belted Kingfisher,Megaceryle alcyon,4,166.0,0.0240963855421686,4.048192771084338,American Crow
10169,1975,Black-and-white Warbler,Mniotilta varia,0,166.0,0.0,0.0,American Crow
10170,1975,Black-backed Woodpecker,Picoides arcticus,0,166.0,0.0,0.0,American Crow
10171,1975,Black-capped Chickadee,Poecile atricapillus,425,166.0,2.560240963855421,430.1204819277109,American Crow
10172,1975,Black-crowned Night-Heron,Nycticorax nycticorax,0,166.0,0.0,0.0,American Crow
10173,1975,Black-headed Grosbeak,Pheucticus melanocephalus,0,166.0,0.0,0.0,American Crow
10174,1975,Black-legged Kittiwake,Rissa tridactyla,1,166.0,0.0060240963855421,1.0120481927710845,American Crow
10175,1975,Black-throated Gray Warbler,Setophaga nigrescens,0,166.0,0.0,0.0,American Crow
10176,1975,Black Scoter,Melanitta americana,0,166.0,0.0,0.0,American Crow
10177,1975,Black Vulture,Coragyps atratus,0,166.0,0.0,0.0,American Crow
10178,1975,Blue-gray Gnatcatcher,Polioptila caerulea,0,166.0,0.0,0.0,American Crow
10179,1975,Blue-winged Teal,Anas discors,0,166.0,0.0,0.0,American Crow
10180,1975,Blue Jay,Cyanocitta cristata,80,166.0,0.4819277108433735,80.96385542168676,American Crow
10181,1975,Bohemian Waxwing,Bombycilla garrulus,1,166.0,0.0060240963855421,1.0120481927710845,American Crow
10182,1975,Bonaparte's Gull,Chroicocephalus philadelphia,4,166.0,0.0240963855421686,4.048192771084338,American Crow
10183,1975,Boreal Chickadee,Poecile hudsonicus,0,166.0,0.0,0.0,American Crow
10184,1975,Boreal Owl,Aegolius funereus,0,166.0,0.0,0.0,American Crow
10185,1975,Brant,Branta bernicla,0,166.0,0.0,0.0,American Crow
10186,1975,Brown-headed Cowbird,Molothrus ater,7,166.0,0.0421686746987951,7.084337349397591,American Crow
10187,1975,Brown Creeper,Certhia americana,2,166.0,0.0120481927710843,2.024096385542169,American Crow
10188,1975,Brown Thrasher,Toxostoma rufum,0,166.0,0.0,0.0,American Crow
10189,1975,Bufflehead,Bucephala albeola,95,166.0,0.572289156626506,96.14457831325302,American Crow
10190,1975,Cackling Goose,Branta hutchinsii,0,166.0,0.0,0.0,American Crow
10191,1975,Canada Goose,Branta canadensis,56,166.0,0.3373493975903614,56.67469879518072,American Crow
10192,1975,Canvasback,Aythya valisineria,7,166.0,0.0421686746987951,7.084337349397591,American Crow
10193,1975,Carolina Wren,Thryothorus ludovicianus,2,166.0,0.0120481927710843,2.024096385542169,American Crow
10194,1975,Caspian Tern,Hydroprogne caspia,0,166.0,0.0,0.0,American Crow
10195,1975,Cedar Waxwing,Bombycilla cedrorum,51,166.0,0.3072289156626506,51.6144578313253,American Crow
10196,1975,Chipping Sparrow,Spizella passerina,0,166.0,0.0,0.0,American Crow
10197,1975,Common Eider,Somateria mollissima,0,166.0,0.0,0.0,American Crow
10198,1975,Common Gallinule,Gallinula galeata,0,166.0,0.0,0.0,American Crow
10199,1975,Common Goldeneye,Bucephala clangula,56,166.0,0.3373493975903614,56.67469879518072,American Crow
10200,1975,Common Grackle,Quiscalus quiscula,4,166.0,0.0240963855421686,4.048192771084338,American Crow
10201,1975,Common Loon,Gavia immer,1,166.0,0.0060240963855421,1.0120481927710845,American Crow
10202,1975,Common Merganser,Mergus merganser,680,166.0,4.096385542168675,688.1927710843374,American Crow
10203,1975,Common Raven,Corvus corax,0,166.0,0.0,0.0,American Crow
10204,1975,Common Redpoll,Acanthis flammea,90,166.0,0.5421686746987951,91.0843373493976,American Crow
10205,1975,Common Snipe,Gallinago gallinago,1,166.0,0.0060240963855421,1.0120481927710845,American Crow
10206,1975,Common Yellowthroat,Geothlypis trichas,0,166.0,0.0,0.0,American Crow
10207,1975,Cooper's Hawk,Accipiter cooperii,0,166.0,0.0,0.0,American Crow
10208,1975,Dark-eyed Junco,Junco hyemalis,552,166.0,3.325301204819277,558.6506024096386,American Crow
10209,1975,Double-crested Cormorant,Phalacrocorax auritus,0,166.0,0.0,0.0,American Crow
10210,1975,Downy Woodpecker,Picoides pubescens,66,166.0,0.3975903614457831,66.79518072289156,American Crow
10211,1975,Dunlin,Calidris alpina,0,166.0,0.0,0.0,American Crow
10212,1975,Eared Grebe,Podiceps nigricollis,0,166.0,0.0,0.0,American Crow
10213,1975,Eastern Bluebird,Sialia sialis,0,166.0,0.0,0.0,American Crow
10214,1975,Eastern Meadowlark,Sturnella magna,0,166.0,0.0,0.0,American Crow
10215,1975,Eastern Phoebe,Sayornis phoebe,0,166.0,0.0,0.0,American Crow
10216,1975,Eastern Screech-Owl,Megascops asio,0,166.0,0.0,0.0,American Crow
10217,1975,Eastern Towhee,Pipilo erythrophthalmus,0,166.0,0.0,0.0,American Crow
10218,1975,European Starling,Sturnus vulgaris,15000,166.0,90.36144578313252,15180.722891566264,American Crow
10219,1975,Evening Grosbeak,Coccothraustes vespertinus,335,166.0,2.0180722891566263,339.0361445783132,American Crow
10220,1975,Field Sparrow,Spizella pusilla,0,166.0,0.0,0.0,American Crow
10221,1975,Fox Sparrow,Passerella iliaca,0,166.0,0.0,0.0,American Crow
10222,1975,Franklin's Gull,Leucophaeus pipixcan,0,166.0,0.0,0.0,American Crow
10223,1975,Gadwall,Anas strepera,40,166.0,0.2409638554216867,40.48192771084338,American Crow
10224,1975,Glaucous Gull,Larus hyperboreus,4,166.0,0.0240963855421686,4.048192771084338,American Crow
10225,1975,Golden-crowned Kinglet,Regulus satrapa,0,166.0,0.0,0.0,American Crow
10226,1975,Golden Eagle,Aquila chrysaetos,0,166.0,0.0,0.0,American Crow
10227,1975,Gray Catbird,Dumetella carolinensis,0,166.0,0.0,0.0,American Crow
10228,1975,Gray Jay,Perisoreus canadensis,0,166.0,0.0,0.0,American Crow
10229,1975,Gray Partridge,Perdix perdix,0,166.0,0.0,0.0,American Crow
10230,1975,Great Black-backed Gull,Larus marinus,150,166.0,0.9036144578313252,151.80722891566268,American Crow
10231,1975,Great Blue Heron,Ardea herodias,3,166.0,0.0180722891566265,3.036144578313253,American Crow
10232,1975,Great Gray Owl,Strix nebulosa,0,166.0,0.0,0.0,American Crow
10233,1975,Great Horned Owl,Bubo virginianus,4,166.0,0.0240963855421686,4.048192771084338,American Crow
10234,1975,Greater Scaup,Aythya marila,690,166.0,4.156626506024097,698.3132530120482,American Crow
10235,1975,Greater Yellowlegs,Tringa melanoleuca,0,166.0,0.0,0.0,American Crow
10236,1975,Green-winged Teal,Anas crecca,12,166.0,0.072289156626506,12.14457831325301,American Crow
10237,1975,Gyrfalcon,Falco rusticolus,0,166.0,0.0,0.0,American Crow
10238,1975,Hairy Woodpecker,Picoides villosus,35,166.0,0.2108433734939759,35.42168674698796,American Crow
10239,1975,Harlequin Duck,Histrionicus histrionicus,0,166.0,0.0,0.0,American Crow
10240,1975,Harris's Sparrow,Zonotrichia querula,0,166.0,0.0,0.0,American Crow
10241,1975,Hermit Thrush,Catharus guttatus,1,166.0,0.0060240963855421,1.0120481927710845,American Crow
10242,1975,Herring Gull,Larus argentatus,6200,166.0,37.34939759036145,6274.698795180724,American Crow
10243,1975,Hoary Redpoll,Acanthis hornemanni,0,166.0,0.0,0.0,American Crow
10244,1975,Hooded Merganser,Lophodytes cucullatus,5,166.0,0.0301204819277108,5.060240963855422,American Crow
10245,1975,Horned Grebe,Podiceps auritus,1,166.0,0.0060240963855421,1.0120481927710845,American Crow
10246,1975,Horned Lark,Eremophila alpestris,170,166.0,1.0240963855421688,172.04819277108436,American Crow
10247,1975,House Finch,Haemorhous mexicanus,0,166.0,0.0,0.0,American Crow
10248,1975,House Sparrow,Passer domesticus,1570,166.0,9.457831325301203,1588.9156626506026,American Crow
10249,1975,House Wren,Troglodytes aedon,0,166.0,0.0,0.0,American Crow
10250,1975,Iceland Gull,Larus glaucoides,0,166.0,0.0,0.0,American Crow
10251,1975,Killdeer,Charadrius vociferus,3,166.0,0.0180722891566265,3.036144578313253,American Crow
10252,1975,King Eider,Somateria spectabilis,0,166.0,0.0,0.0,American Crow
10253,1975,Lapland Longspur,Calcarius lapponicus,0,166.0,0.0,0.0,American Crow
10254,1975,Least Sandpiper,Calidris minutilla,0,166.0,0.0,0.0,American Crow
10255,1975,Lesser Black-backed Gull,Larus fuscus,0,166.0,0.0,0.0,American Crow
10256,1975,Lesser Scaup,Aythya affinis,10,166.0,0.0602409638554216,10.120481927710845,American Crow
10257,1975,Lesser Yellowlegs,Tringa flavipes,0,166.0,0.0,0.0,American Crow
10258,1975,Lincoln's Sparrow,Melospiza lincolnii,0,166.0,0.0,0.0,American Crow
10259,1975,Little Gull,Hydrocoloeus minutus,0,166.0,0.0,0.0,American Crow
10260,1975,Long-eared Owl,Asio otus,0,166.0,0.0,0.0,American Crow
10261,1975,Long-tailed Duck,Clangula hyemalis,96,166.0,0.5783132530120482,97.15662650602408,American Crow
10262,1975,Mallard,Anas platyrhynchos,3570,166.0,21.50602409638554,3613.01204819277,American Crow
10263,1975,Marsh Wren,Cistothorus palustris,1,166.0,0.0060240963855421,1.0120481927710845,American Crow
10264,1975,Merlin,Falco columbarius,0,166.0,0.0,0.0,American Crow
10265,1975,Mourning Dove,Zenaida macroura,183,166.0,1.1024096385542168,185.2048192771084,American Crow
10266,1975,Mute Swan,Cygnus olor,1,166.0,0.0060240963855421,1.0120481927710845,American Crow
10267,1975,Nashville Warbler,Oreothlypis ruficapilla,0,166.0,0.0,0.0,American Crow
10268,1975,Northern Bobwhite,Colinus virginianus,0,166.0,0.0,0.0,American Crow
10269,1975,Northern Cardinal,Cardinalis cardinalis,166,166.0,1.0,168.0,American Crow
10270,1975,Northern Flicker,Colaptes auratus,4,166.0,0.0240963855421686,4.048192771084338,American Crow
10271,1975,Northern Gannet,Morus bassanus,0,166.0,0.0,0.0,American Crow
10272,1975,Northern Goshawk,Accipiter gentilis,1,166.0,0.0060240963855421,1.0120481927710845,American Crow
10273,1975,Northern Harrier,Circus cyaneus,0,166.0,0.0,0.0,American Crow
10274,1975,Northern Hawk Owl,Surnia ulula,0,166.0,0.0,0.0,American Crow
10275,1975,Northern Mockingbird,Mimus polyglottos,5,166.0,0.0301204819277108,5.060240963855422,American Crow
10276,1975,Northern Pintail,Anas acuta,13,166.0,0.0783132530120482,13.156626506024097,American Crow
10277,1975,Northern Saw-whet Owl,Aegolius acadicus,0,166.0,0.0,0.0,American Crow
10278,1975,Northern Shoveler,Anas clypeata,8,166.0,0.0481927710843373,8.096385542168676,American Crow
10279,1975,Northern Shrike,Lanius excubitor,3,166.0,0.0180722891566265,3.036144578313253,American Crow
10280,1975,Orange-crowned Warbler,Oreothlypis celata,0,166.0,0.0,0.0,American Crow
10281,1975,Ovenbird,Seiurus aurocapilla,0,166.0,0.0,0.0,American Crow
10282,1975,Pacific Loon,Gavia pacifica,0,166.0,0.0,0.0,American Crow
10283,1975,Palm Warbler,Setophaga palmarum,0,166.0,0.0,0.0,American Crow
10284,1975,Peregrine Falcon,Falco peregrinus,0,166.0,0.0,0.0,American Crow
10285,1975,Pied-billed Grebe,Podilymbus podiceps,0,166.0,0.0,0.0,American Crow
10286,1975,Pileated Woodpecker,Dryocopus pileatus,3,166.0,0.0180722891566265,3.036144578313253,American Crow
10287,1975,Pine Grosbeak,Pinicola enucleator,70,166.0,0.4216867469879518,70.84337349397592,American Crow
10288,1975,Pine Siskin,Spinus pinus,250,166.0,1.5060240963855422,253.01204819277112,American Crow
10289,1975,Pine Warbler,Setophaga pinus,0,166.0,0.0,0.0,American Crow
10290,1975,Pomarine Jaeger,Stercorarius pomarinus,0,166.0,0.0,0.0,American Crow
10291,1975,Purple Finch,Haemorhous purpureus,4,166.0,0.0240963855421686,4.048192771084338,American Crow
10292,1975,Purple Sandpiper,Calidris maritima,0,166.0,0.0,0.0,American Crow
10293,1975,Red-bellied Woodpecker,Melanerpes carolinus,0,166.0,0.0,0.0,American Crow
10294,1975,Red-breasted Merganser,Mergus serrator,13,166.0,0.0783132530120482,13.156626506024097,American Crow
10295,1975,Red-breasted Nuthatch,Sitta canadensis,6,166.0,0.036144578313253,6.072289156626505,American Crow
10296,1975,Red-headed Woodpecker,Melanerpes erythrocephalus,0,166.0,0.0,0.0,American Crow
10297,1975,Red-necked Grebe,Podiceps grisegena,0,166.0,0.0,0.0,American Crow
10298,1975,Red-shouldered Hawk,Buteo lineatus,0,166.0,0.0,0.0,American Crow
10299,1975,Red-tailed Hawk,Buteo jamaicensis,87,166.0,0.5240963855421686,88.04819277108433,American Crow
10300,1975,Red-throated Loon,Gavia stellata,0,166.0,0.0,0.0,American Crow
10301,1975,Red-winged Blackbird,Agelaius phoeniceus,0,166.0,0.0,0.0,American Crow
10302,1975,Red Crossbill,Loxia curvirostra,3,166.0,0.0180722891566265,3.036144578313253,American Crow
10303,1975,Redhead,Aythya americana,43,166.0,0.2590361445783132,43.51807228915662,American Crow
10304,1975,Ring-billed Gull,Larus delawarensis,1000,166.0,6.024096385542169,1012.0481927710844,American Crow
10305,1975,Ring-necked Duck,Aythya collaris,0,166.0,0.0,0.0,American Crow
10306,1975,Ring-necked Pheasant,Phasianus colchicus,35,166.0,0.2108433734939759,35.42168674698796,American Crow
10307,1975,Rock Pigeon,Columba livia,60,166.0,0.3614457831325301,60.72289156626506,American Crow
10308,1975,Rose-breasted Grosbeak,Pheucticus ludovicianus,0,166.0,0.0,0.0,American Crow
10309,1975,Rough-legged Hawk,Buteo lagopus,1,166.0,0.0060240963855421,1.0120481927710845,American Crow
10310,1975,Ruby-crowned Kinglet,Regulus calendula,0,166.0,0.0,0.0,American Crow
10311,1975,Ruddy Duck,Oxyura jamaicensis,2,166.0,0.0120481927710843,2.024096385542169,American Crow
10312,1975,Ruddy Turnstone,Arenaria interpres,0,166.0,0.0,0.0,American Crow
10313,1975,Ruffed Grouse,Bonasa umbellus,5,166.0,0.0301204819277108,5.060240963855422,American Crow
10314,1975,Rusty Blackbird,Euphagus carolinus,5,166.0,0.0301204819277108,5.060240963855422,American Crow
10315,1975,Sandhill Crane,Grus canadensis,0,166.0,0.0,0.0,American Crow
10316,1975,Savannah Sparrow,Passerculus sandwichensis,0,166.0,0.0,0.0,American Crow
10317,1975,Sharp-shinned Hawk,Accipiter striatus,0,166.0,0.0,0.0,American Crow
10318,1975,Short-eared Owl,Asio flammeus,0,166.0,0.0,0.0,American Crow
10319,1975,Snow Bunting,Plectrophenax nivalis,13,166.0,0.0783132530120482,13.156626506024097,American Crow
10320,1975,Snow Goose,Chen caerulescens,0,166.0,0.0,0.0,American Crow
10321,1975,Snowy Owl,Bubo scandiacus,1,166.0,0.0060240963855421,1.0120481927710845,American Crow
10322,1975,Song Sparrow,Melospiza melodia,89,166.0,0.536144578313253,90.07228915662652,American Crow
10323,1975,Spotted Sandpiper,Actitis macularius,0,166.0,0.0,0.0,American Crow
10324,1975,Surf Scoter,Melanitta perspicillata,0,166.0,0.0,0.0,American Crow
10325,1975,Swainson's Thrush,Catharus ustulatus,0,166.0,0.0,0.0,American Crow
10326,1975,Swamp Sparrow,Melospiza georgiana,13,166.0,0.0783132530120482,13.156626506024097,American Crow
10327,1975,Thayer's Gull,Larus thayeri,1,166.0,0.0060240963855421,1.0120481927710845,American Crow
10328,1975,Thick-billed Murre,Uria lomvia,0,166.0,0.0,0.0,American Crow
10329,1975,Trumpeter Swan,Cygnus buccinator,0,166.0,0.0,0.0,American Crow
10330,1975,Tufted Duck,Aythya fuligula,0,166.0,0.0,0.0,American Crow
10331,1975,Tufted Titmouse,Baeolophus bicolor,2,166.0,0.0120481927710843,2.024096385542169,American Crow
10332,1975,Tundra Swan,Cygnus columbianus,0,166.0,0.0,0.0,American Crow
10333,1975,Turkey Vulture,Cathartes aura,0,166.0,0.0,0.0,American Crow
10334,1975,Varied Thrush,Ixoreus naevius,0,166.0,0.0,0.0,American Crow
10335,1975,Vesper Sparrow,Pooecetes gramineus,0,166.0,0.0,0.0,American Crow
10336,1975,White-breasted Nuthatch,Sitta carolinensis,59,166.0,0.3554216867469879,59.71084337349397,American Crow
10337,1975,White-crowned Sparrow,Zonotrichia leucophrys,1,166.0,0.0060240963855421,1.0120481927710845,American Crow
10338,1975,White-throated Sparrow,Zonotrichia albicollis,5,166.0,0.0301204819277108,5.060240963855422,American Crow
10339,1975,White-winged Crossbill,Loxia leucoptera,1,166.0,0.0060240963855421,1.0120481927710845,American Crow
10340,1975,White-winged Scoter,Melanitta fusca,3,166.0,0.0180722891566265,3.036144578313253,American Crow
10341,1975,Whooper Swan,Cygnus cygnus,0,166.0,0.0,0.0,American Crow
10342,1975,Wild Turkey,Meleagris gallopavo,0,166.0,0.0,0.0,American Crow
10343,1975,Wilson's Warbler,Cardellina pusilla,0,166.0,0.0,0.0,American Crow
10344,1975,Winter Wren,Troglodytes hiemalis,3,166.0,0.0180722891566265,3.036144578313253,American Crow
10345,1975,Wood Duck,Aix sponsa,0,166.0,0.0,0.0,American Crow
10346,1975,Yellow-bellied Sapsucker,Sphyrapicus varius,0,166.0,0.0,0.0,American Crow
10347,1975,Yellow-breasted Chat,Icteria virens,0,166.0,0.0,0.0,American Crow
10348,1975,Yellow-rumped Warbler,Setophaga coronata,0,166.0,0.0,0.0,American Crow
10349,1976,American Bittern,Botaurus lentiginosus,0,207.0,0.0,0.0,American Crow
10350,1976,American Black Duck,Anas rubripes,360,207.0,1.7391304347826086,292.17391304347825,American Crow
10351,1976,American Coot,Fulica americana,2,207.0,0.0096618357487922,1.623188405797101,American Coot
10352,1976,American Crow,Corvus brachyrhynchos,3180,207.0,15.36231884057971,2580.869565217391,American Crow
10353,1976,American Goldfinch,Spinus tristis,410,207.0,1.9806763285024156,332.7536231884057,American Crow
10354,1976,American Kestrel,Falco sparverius,38,207.0,0.1835748792270531,30.84057971014493,American Crow
10355,1976,American Pipit,Anthus rubescens,0,207.0,0.0,0.0,American Crow
10356,1976,American Robin,Turdus migratorius,90,207.0,0.4347826086956521,73.04347826086956,American Crow
10357,1976,American Three-toed Woodpecker,Picoides dorsalis,0,207.0,0.0,0.0,American Crow
10358,1976,American Tree Sparrow,Spizelloides arborea,820,207.0,3.961352657004831,665.5072463768115,American Crow
10359,1976,American Wigeon,Anas americana,1,207.0,0.0048309178743961,0.8115942028985507,American Crow
10360,1976,American Woodcock,Scolopax minor,0,207.0,0.0,0.0,American Crow
10361,1976,Bald Eagle,Haliaeetus leucocephalus,0,207.0,0.0,0.0,American Crow
10362,1976,Baltimore Oriole,Icterus galbula,0,207.0,0.0,0.0,American Crow
10363,1976,Barn Owl,Tyto alba,0,207.0,0.0,0.0,American Crow
10364,1976,Barn Swallow,Hirundo rustica,0,207.0,0.0,0.0,American Crow
10365,1976,Barred Owl,Strix varia,0,207.0,0.0,0.0,American Crow
10366,1976,Barrow's Goldeneye,Bucephala islandica,0,207.0,0.0,0.0,American Crow
10367,1976,Belted Kingfisher,Megaceryle alcyon,4,207.0,0.0193236714975845,3.2463768115942027,American Crow
10368,1976,Black-and-white Warbler,Mniotilta varia,0,207.0,0.0,0.0,American Crow
10369,1976,Black-backed Woodpecker,Picoides arcticus,0,207.0,0.0,0.0,American Crow
10370,1976,Black-capped Chickadee,Poecile atricapillus,740,207.0,3.57487922705314,600.5797101449275,American Crow
10371,1976,Black-crowned Night-Heron,Nycticorax nycticorax,0,207.0,0.0,0.0,American Crow
10372,1976,Black-headed Grosbeak,Pheucticus melanocephalus,0,207.0,0.0,0.0,American Crow
10373,1976,Black-legged Kittiwake,Rissa tridactyla,0,207.0,0.0,0.0,American Crow
10374,1976,Black-throated Gray Warbler,Setophaga nigrescens,0,207.0,0.0,0.0,American Crow
10375,1976,Black Scoter,Melanitta americana,0,207.0,0.0,0.0,American Crow
10376,1976,Black Vulture,Coragyps atratus,0,207.0,0.0,0.0,American Crow
10377,1976,Blue-gray Gnatcatcher,Polioptila caerulea,0,207.0,0.0,0.0,American Crow
10378,1976,Blue-winged Teal,Anas discors,0,207.0,0.0,0.0,American Crow
10379,1976,Blue Jay,Cyanocitta cristata,230,207.0,1.1111111111111112,186.66666666666669,American Crow
10380,1976,Bohemian Waxwing,Bombycilla garrulus,1,207.0,0.0048309178743961,0.8115942028985507,American Crow
10381,1976,Bonaparte's Gull,Chroicocephalus philadelphia,5,207.0,0.0241545893719806,4.057971014492754,American Crow
10382,1976,Boreal Chickadee,Poecile hudsonicus,0,207.0,0.0,0.0,American Crow
10383,1976,Boreal Owl,Aegolius funereus,0,207.0,0.0,0.0,American Crow
10384,1976,Brant,Branta bernicla,0,207.0,0.0,0.0,American Crow
10385,1976,Brown-headed Cowbird,Molothrus ater,23,207.0,0.1111111111111111,18.666666666666664,American Crow
10386,1976,Brown Creeper,Certhia americana,23,207.0,0.1111111111111111,18.666666666666664,American Crow
10387,1976,Brown Thrasher,Toxostoma rufum,0,207.0,0.0,0.0,American Crow
10388,1976,Bufflehead,Bucephala albeola,200,207.0,0.966183574879227,162.31884057971013,American Crow
10389,1976,Cackling Goose,Branta hutchinsii,0,207.0,0.0,0.0,American Crow
10390,1976,Canada Goose,Branta canadensis,128,207.0,0.6183574879227053,103.88405797101449,American Crow
10391,1976,Canvasback,Aythya valisineria,14,207.0,0.0676328502415458,11.36231884057971,American Crow
10392,1976,Carolina Wren,Thryothorus ludovicianus,0,207.0,0.0,0.0,American Crow
10393,1976,Caspian Tern,Hydroprogne caspia,0,207.0,0.0,0.0,American Crow
10394,1976,Cedar Waxwing,Bombycilla cedrorum,600,207.0,2.898550724637681,486.9565217391305,American Crow
10395,1976,Chipping Sparrow,Spizella passerina,0,207.0,0.0,0.0,American Crow
10396,1976,Common Eider,Somateria mollissima,0,207.0,0.0,0.0,American Crow
10397,1976,Common Gallinule,Gallinula galeata,0,207.0,0.0,0.0,American Crow
10398,1976,Common Goldeneye,Bucephala clangula,430,207.0,2.077294685990338,348.9855072463768,American Crow
10399,1976,Common Grackle,Quiscalus quiscula,3,207.0,0.0144927536231884,2.4347826086956523,American Crow
10400,1976,Common Loon,Gavia immer,0,207.0,0.0,0.0,American Crow
10401,1976,Common Merganser,Mergus merganser,5600,207.0,27.05314009661836,4544.927536231884,American Crow
10402,1976,Common Raven,Corvus corax,0,207.0,0.0,0.0,American Crow
10403,1976,Common Redpoll,Acanthis flammea,18,207.0,0.0869565217391304,14.608695652173914,American Crow
10404,1976,Common Snipe,Gallinago gallinago,0,207.0,0.0,0.0,American Crow
10405,1976,Common Yellowthroat,Geothlypis trichas,0,207.0,0.0,0.0,American Crow
10406,1976,Cooper's Hawk,Accipiter cooperii,1,207.0,0.0048309178743961,0.8115942028985507,American Crow
10407,1976,Dark-eyed Junco,Junco hyemalis,632,207.0,3.0531400966183573,512.927536231884,American Crow
10408,1976,Double-crested Cormorant,Phalacrocorax auritus,0,207.0,0.0,0.0,American Crow
10409,1976,Downy Woodpecker,Picoides pubescens,145,207.0,0.7004830917874396,117.68115942028984,American Crow
10410,1976,Dunlin,Calidris alpina,0,207.0,0.0,0.0,American Crow
10411,1976,Eared Grebe,Podiceps nigricollis,0,207.0,0.0,0.0,American Crow
10412,1976,Eastern Bluebird,Sialia sialis,0,207.0,0.0,0.0,American Crow
10413,1976,Eastern Meadowlark,Sturnella magna,0,207.0,0.0,0.0,American Crow
10414,1976,Eastern Phoebe,Sayornis phoebe,0,207.0,0.0,0.0,American Crow
10415,1976,Eastern Screech-Owl,Megascops asio,0,207.0,0.0,0.0,American Crow
10416,1976,Eastern Towhee,Pipilo erythrophthalmus,1,207.0,0.0048309178743961,0.8115942028985507,American Crow
10417,1976,European Starling,Sturnus vulgaris,43000,207.0,207.72946859903385,34898.55072463768,American Crow
10418,1976,Evening Grosbeak,Coccothraustes vespertinus,0,207.0,0.0,0.0,American Crow
10419,1976,Field Sparrow,Spizella pusilla,7,207.0,0.0338164251207729,5.681159420289855,American Crow
10420,1976,Fox Sparrow,Passerella iliaca,0,207.0,0.0,0.0,American Crow
10421,1976,Franklin's Gull,Leucophaeus pipixcan,0,207.0,0.0,0.0,American Crow
10422,1976,Gadwall,Anas strepera,2,207.0,0.0096618357487922,1.623188405797101,American Crow
10423,1976,Glaucous Gull,Larus hyperboreus,12,207.0,0.0579710144927536,9.73913043478261,American Crow
10424,1976,Golden-crowned Kinglet,Regulus satrapa,38,207.0,0.1835748792270531,30.84057971014493,American Crow
10425,1976,Golden Eagle,Aquila chrysaetos,0,207.0,0.0,0.0,American Crow
10426,1976,Gray Catbird,Dumetella carolinensis,0,207.0,0.0,0.0,American Crow
10427,1976,Gray Jay,Perisoreus canadensis,0,207.0,0.0,0.0,American Crow
10428,1976,Gray Partridge,Perdix perdix,0,207.0,0.0,0.0,American Crow
10429,1976,Great Black-backed Gull,Larus marinus,433,207.0,2.0917874396135265,351.4202898550725,American Crow
10430,1976,Great Blue Heron,Ardea herodias,3,207.0,0.0144927536231884,2.4347826086956523,American Crow
10431,1976,Great Gray Owl,Strix nebulosa,0,207.0,0.0,0.0,American Crow
10432,1976,Great Horned Owl,Bubo virginianus,13,207.0,0.0628019323671497,10.55072463768116,American Crow
10433,1976,Greater Scaup,Aythya marila,1300,207.0,6.280193236714976,1055.072463768116,American Crow
10434,1976,Greater Yellowlegs,Tringa melanoleuca,0,207.0,0.0,0.0,American Crow
10435,1976,Green-winged Teal,Anas crecca,0,207.0,0.0,0.0,American Crow
10436,1976,Gyrfalcon,Falco rusticolus,0,207.0,0.0,0.0,American Crow
10437,1976,Hairy Woodpecker,Picoides villosus,32,207.0,0.1545893719806763,25.97101449275362,American Crow
10438,1976,Harlequin Duck,Histrionicus histrionicus,1,207.0,0.0048309178743961,0.8115942028985507,American Crow
10439,1976,Harris's Sparrow,Zonotrichia querula,0,207.0,0.0,0.0,American Crow
10440,1976,Hermit Thrush,Catharus guttatus,3,207.0,0.0144927536231884,2.4347826086956523,American Crow
10441,1976,Herring Gull,Larus argentatus,2250,207.0,10.869565217391305,1826.086956521739,American Crow
10442,1976,Hoary Redpoll,Acanthis hornemanni,0,207.0,0.0,0.0,American Crow
10443,1976,Hooded Merganser,Lophodytes cucullatus,7,207.0,0.0338164251207729,5.681159420289855,American Crow
10444,1976,Horned Grebe,Podiceps auritus,1,207.0,0.0048309178743961,0.8115942028985507,American Crow
10445,1976,Horned Lark,Eremophila alpestris,150,207.0,0.7246376811594203,121.73913043478262,American Crow
10446,1976,House Finch,Haemorhous mexicanus,0,207.0,0.0,0.0,American Crow
